Category,start_date,end_date,BAC,ore_pianficate,ore_effettive,%_lavoro_pianificato,Planned Value (PV),Actual Cost (AC)
Sprint 1,2025-11-20,2025-12-03,"11,370.00",17.00,17.00,0.03,357.94,215.00
Sprint 2,2025-12-04,2025-12-18,"11,370.00",36.00,41.00,0.07,758.00,640.00
Sprint 3,2025-12-19,2026-01-01,"11,370.00",39.00,35.00,0.07,821.17,687.50
Sprint 4,2026-01-02,2026-01-15,"11,370.00",34.00,32.50,0.06,715.89,542.50
Sprint 5,2026-01-16,2026-01-29,"11,370.00",20.00,10.50,0.04,421.11,155.00
Sprint 6,2026-01-30,2026-02-12,"11,370.00",33.50,34.75,0.06,705.36,587.50
Sprint 7,2026-02-13,2026-02-27,"11,370.00",32.50,43.50,0.06,684.31,790.00
